middl  class: 114
tax  cut: 102
Affordabl  Care: 88
Care  Act: 85
tax  plan: 76
balanc  time: 71
climat  chang: 69
Suprem  Court: 62
commun  health: 61
health  center: 60
American  peopl: 59
urg  colleagu: 51
rise  recogn: 50
Presid  Trump: 50
health  insur: 46
Children  Health: 41
tax  reform: 40
Health  Insuranc: 38
yield  time: 37
Insuranc  Program: 37
yield  balanc: 36
public  health: 35
reserv  balanc: 35
colleagu  join: 34
time  consum: 32
cut  tax: 31
Republican  tax: 29
GARAMENDI  rise: 29
Trump  administr: 29
Puerto  Rico: 29
1  percent: 28
Climat  Solut: 28
15  trillion: 28
Solut  Caucus: 28
CHIP  commun: 28
econom  growth: 28
tax  bill: 28
Prevent  Fund: 27
Congression  Black: 27
Republican  colleagu: 27
Black  Caucus: 27
Hous  Republican: 26
PALLONE  yield: 26
protect  status: 26
Forest  Servic: 26
Hong  Kong: 25
temporari  protect: 25
forest  manag: 25
Virgin  Island: 24
class  famili: 24
Tax  Code: 23
tax  break: 23
unanim  consent: 22
major  leader: 22
Fairfax  Counti: 22
American  worker: 21
am  proud: 21
millionair  billionair: 21
Act  2017: 21
Stafford  Act: 21
TPS  design: 20
HR  3922: 20
fossil  fuel: 19
grace  period: 19
Las  Vega: 19
Dream  Act: 19
Northern  Virginia: 19
Donald  Trump: 19
qualiti  life: 18
minut  gentleman: 18
HR  2936: 18
Public  Health: 18
million  peopl: 18
Feder  Govern: 18
Presid  Obama: 18
million  American: 18
fair  share: 17
North  Korea: 17
Homeland  Secur: 17
wildfir  suppress: 17
White  Hous: 17
tax  rate: 17
Social  Secur: 17
peopl  countri: 16
Judiciari  Committe: 16
support  HR: 16
gun  violenc: 16
repeal  Affordabl: 16
public  land: 16
strong  support: 16
Health  Fund: 15
local  tax: 15
natur  disast: 15
Hous  Repres: 15
yield  gentleman: 15
Air  Forc: 15
Presid  unanim: 15
thank  gentleman: 15
yield  floor: 15
Endanger  Speci: 15
health  care: 14
enrol  period: 14
fund  program: 14
Speci  Act: 14
Prevent  Public: 14
public  servic: 14
Nation  Park: 14
Barack  Obama: 14
18  month: 14
Elementari  School: 14
mass  shoot: 14
Republican  plan: 14
colleagu  vote: 14
TPS  holder: 14
gentleman  California: 13
Medicar  Medicaid: 13
El  Salvador: 13
corpor  tax: 13
colleagu  support: 13
lose  health: 13
CONNOLLi  rise: 13
student  loan: 13
health  program: 13
sabotag  Affordabl: 13
bill  floor: 13
pay  tax: 13
top  1: 13
minut  gentlewoman: 13
creat  job: 13
thank  colleagu: 12
Navi  Pier: 12
health  coverag: 12
9  million: 12
bill  pass: 12
billion  dollar: 12
80  percent: 12
judici  nomine: 12
special  counsel: 12
million  dollar: 12
Major  Nash: 12
healthcar  system: 12
partisan  bill: 12
cost  carbon: 12
serv  commun: 12
york  Citi: 12
children  famili: 12
fire  borrow: 12
consum  rise: 12
move  forward: 12
nation  secur: 12
colleagu  aisl: 12
Execut  Director: 12
estat  tax: 12
bipartisan  support: 11
privat  sector: 11
access  healthcar: 11
Roll  Call: 11
background  check: 11
Keiser  Univers: 11
Depart  Homeland: 11
am  pleas: 11
renew  energi: 11
rule  law: 11
Trump  campaign: 11
consent  quorum: 11
love  one: 11
Democrat  Republican: 11
175  billion: 11
explod  deficit: 11
public  servant: 11
rais  tax: 11
thank  gentlewoman: 11
Republican  leader: 11
call  rescind: 11
bipartisan  basi: 11
children  grandchildren: 11
improv  qualiti: 11
Chairman  yield: 11
quorum  call: 11
Indiana  Dune: 11
percent  benefit: 11
yuba  Citi: 11
minimum  tax: 11
land  manag: 11
Commun  Health: 11
tax  giveaway: 11
social  cost: 10
yield  112: 10
Washington  Post: 10
absenc  quorum: 10
2  week: 10
Affair  Committe: 10
Nation  Labor: 10
bill  cut: 10
bill  includ: 10
Labor  Relat: 10
speci  counsel: 10
safeti  net: 10
Bill  Clinton: 10
rollcal  vote: 10
massiv  tax: 10
Wall  Street: 10
manag  reform: 10
reauthor  Children: 10
rise  opposit: 10
Republican  Democrat: 10
rise  honor: 10
suggest  absenc: 10
LGBT  senior: 10
10  percent: 10
current  serv: 10
JACKSON  LEE: 10
pay  fair: 10
mental  health: 10
Chamber  Commerc: 10
Ronald  Reagan: 10
World  War: 10
circuit  court: 10
Republican  leadership: 10
properti  tax: 10
bring  floor: 10
famili  friend: 10
rise  support: 9
month  ago: 9
minimum  wage: 9
support  bill: 9
Secretari  Agricultur: 9
Feder  land: 9
Nation  Guard: 9
court  nomine: 9
tax  wealthi: 9
Rule  Committe: 9
futur  gener: 9
altern  minimum: 9
Middl  School: 9
million  acr: 9
GOP  tax: 9
vote  nay: 9
cut  Medicar: 9
littl  bit: 9
save  live: 9
30  day: 9
grow  economi: 9
Forest  Act: 9
Dune  Nation: 9
PETERSON  Chairman: 9
Washington  DC: 9
includ  Record: 9
trickledown  econom: 9
million  children: 9
collect  bargain: 9
bipartisan  bill: 9
112  minut: 9
Health  Center: 9
elimin  deduct: 9
worker  organ: 9
reauthor  CHIP: 9
success  futur: 9
Rico  Virgin: 9
Republican  Parti: 9
help  middl: 9
percent  American: 9
cost  healthcar: 9
Aid  Attendanc: 9
Ha  Eun: 9
job  creat: 9
take  money: 9
tax  deduct: 9
Georg  Steven: 9
Board  Director: 9
vote  bill: 8
multinat  corpor: 8
trillion  dollar: 8
Program  CHIP: 8
CHIP  fund: 8
tax  middl: 8
Congression  District: 8
Sutter  Counti: 8
help  peopl: 8
Feder  Forest: 8
posit  impact: 8
Fairfax  Water: 8
sea  level: 8
Novemb  3: 8
servic  commun: 8
famili  countri: 8
food  insecur: 8
bring  bill: 8
honor  repres: 8
GRIJALVA  Chairman: 8
worker  right: 8
countri  world: 8
demand  yea: 8
yea  nay: 8
Georg  W: 8
Bradi  Key: 8
nation  forest: 8
Presid  Unite: 8
Steven  Jr: 8
2  minut: 8
Congression  Budget: 8
law  enforc: 8
congression  district: 8
tax  propos: 8
War  II: 8
World  Seri: 8
peopl  lose: 8
Budget  Office: 8
Unite  America: 8
record  vote: 8
Key  Jr: 8
Salvador  Hondura: 8
Decemb  15: 8
LIPINSKI  thank: 8
Bush  tax: 8
Congress  act: 8
California  dedic: 8
Relat  Board: 8
W  Bush: 8
healthcar  cost: 8
CHIP  program: 8
Colleg  Wood: 8
hardwork  American: 8
American  famili: 8
prevent  program: 8
Mari  Beth: 8
TORRES  yield: 8
Haiti  TPS: 8
rise  speak: 8
nation  debt: 7
Feder  agenc: 7
benefit  tax: 7
local  govern: 7
increas  tax: 7
tax  increas: 7
HR  849: 7
undermin  Affordabl: 7
SLAUGHTER  Madam: 7
help  famili: 7
Foreign  Affair: 7
current  law: 7
MICHELLE  LUJAN: 7
cholera  epidem: 7
address  issu: 7
reli  CHIP: 7
join  congratul: 7
1  million: 7
Georg  Bush: 7
SLAUGHTER  yield: 7
fund  wildfir: 7
Presid  Bush: 7
time  TAKANO: 7
corpor  profit: 7
Minnesota  Nation: 7
bipartisan  fashion: 7
tax  credit: 7
rural  America: 7
yield  2: 7
blu  slip: 7
program  help: 7
extrem  weather: 7
LUJAN  GRISHAM: 7
bipartisan  legisl: 7
Citi  Bell: 7
headston  marker: 7
Hurrican  Matthew: 7
bill  help: 7
circuit  judg: 7
join  union: 7
program  expir: 7
am  deepli: 7
weather  event: 7
nonprofit  organiz: 7
6  month: 7
cut  Medicaid: 7
Sutherland  Spring: 7
program  provid: 7
TAKANO  yield: 7
GRISHAM  Mexico: 7
save  money: 7
lead  poison: 7
floor  suggest: 7
100  percent: 7
address  climat: 7
Hurrican  Maria: 7
School  District: 7
yield  gentlewoman: 7
children  health: 7
2001  2003: 7
Medicar  program: 7
increas  cost: 7
servic  organiz: 7
v  AFSCME: 7
Solano  Counti: 7
tax  return: 7
worker  freedom: 7
carbon  pollut: 7
peopl  Haiti: 7
chang  climat: 7
Glenn  Counti: 7
TPS  beneficiari: 7
am  confid: 7
deduct  local: 7
percent  incom: 7
2  trillion: 7
extend  Haiti: 6
achiev  goal: 6
Madam  yield: 6
urg  vote: 6
90  day: 6
thank  friend: 6
Act  bipartisan: 6
help  reduc: 6
join  colleagu: 6
Congress  address: 6
cut  wealthi: 6
insecur  crisi: 6
polic  offic: 6
Improv  Nation: 6
Protect  Act: 6
Chairman  amend: 6
taxpay  dollar: 6
Medic  Profession: 6
Circuit  vote: 6
famili  Unite: 6
Republican  friend: 6
Republican  major: 6
Ponzi  schem: 6
previ  quest: 6
nomine  consid: 6
wast  time: 6
cut  pay: 6
Mean  Committe: 6
Statem  Administr: 6
class  American: 6
bill  bipartisan: 6
Reverend  Water: 6
Republican  tri: 6
GarField  Senior: 6
hazard  fuel: 6
DACA  program: 6
35  percent: 6
vote  yea: 6
pass  Senat: 6
commun  countri: 6
famili  NRA: 6
pass  tax: 6
wildfir  manag: 6
labor  union: 6
bipartisan  effort: 6
oppos  bill: 6
floor  vote: 6
demand  record: 6
health  servic: 6
futur  endeavor: 6
peopl  Unite: 6
percent  tax: 6
Hous  Senat: 6
Wherea  Foley: 6
Independ  Payment: 6
catastroph  fire: 6
fund  CHIP: 6
class  tax: 6
largest  corpor: 6
yield  3: 6
offer  amend: 6
unpreced  econom: 6
1  minut: 6
American  citizen: 6
gentleman  yield: 6
incom  tax: 6
1  billion: 6
Beth  Israel: 6
necessarili  absent: 6
Justic  Eid: 6
Profession  Improv: 6
White  Lick: 6
Republican  bill: 6
yield  addit: 6
chair  Congression: 6
dont  care: 6
Chairman  reserv: 6
trillion  tax: 6
thank  Repres: 6
Irma  Maria: 6
union  negoti: 6
environment  review: 6
Forc  Base: 6
job  oversea: 6
cut  corpor: 6
Health  Medic: 6
medic  expens: 6
Mexico  rise: 6
foreign  oil: 6
colleagu  Hous: 6
Advisori  Board: 6
cut  millionair: 6
plan  hurt: 6
help  pay: 6
IPAB  repeal: 6
howev  concern: 6
effect  climat: 6
Administr  Polici: 6
3  minut: 6
rise  strong: 6
commun  help: 6
vote  HR: 6
Janus  v: 6
extran  materi: 6
wealthiest  peopl: 6
cut  peopl: 6
Chairman  thank: 6
