Suprem  Court: 87
unanim  consent: 87
Forest  Servic: 84
Hous  Repres: 81
balanc  time: 77
American  peopl: 69
forest  manag: 62
HR  2936: 61
Justic  Eid: 57
rise  recogn: 56
Medic  Associat: 55
health  center: 55
urg  colleagu: 54
Hong  Kong: 49
yield  time: 48
McCONNELL  Presid: 48
minut  gentleman: 47
Presid  unanim: 46
public  health: 44
commun  health: 44
support  HR: 43
colleagu  support: 43
Professor  Biba: 42
Act  2017: 42
Feder  Forest: 42
Forest  Act: 41
Resili  Feder: 40
tax  reform: 40
reserv  balanc: 39
yield  balanc: 38
time  consum: 37
am  proud: 36
Presid  Trump: 36
thank  gentleman: 35
Affordabl  Care: 33
Transpar  Act: 33
Unite  Hous: 33
Advisori  Board: 33
Colleg  Transpar: 33
Energi  Commerc: 32
support  bill: 32
Repres  join: 32
bipartisan  support: 32
join  congratul: 31
Payment  Advisori: 31
Care  Act: 31
health  insur: 31
catastroph  wildfir: 31
ROE  Tennesse: 31
Justic  Larsen: 30
bill  HR: 30
Feder  Govern: 30
Des  Moin: 30
million  acr: 30
Independ  Payment: 30
recogn  congratul: 30
colleagu  Unite: 30
Unite  Congress: 30
Iowa  rise: 30
move  forward: 29
rise  support: 29
tax  cut: 29
World  War: 29
West  Virginia: 29
am  honor: 29
North  Carolina: 27
am  pleas: 27
Tax  Code: 27
nation  forest: 27
Court  Appeal: 27
look  forward: 26
Judiciari  Committe: 26
Circuit  Court: 26
War  II: 26
Commerc  Committe: 26
Health  Insuranc: 25
Podiatr  Medic: 25
million  American: 25
pass  bill: 25
Washington  DC: 24
continu  success: 24
Children  Health: 23
pride  recogn: 23
legisl  day: 23
thank  colleagu: 23
strong  support: 23
circuit  court: 23
extend  remark: 22
BISHOP  Utah: 22
honor  repres: 22
revis  extend: 22
piec  legisl: 22
law  enforc: 22
South  Carolina: 22
Court  Justic: 22
Congress  pride: 21
Puerto  Rico: 21
am  grate: 21
recogn  colleagu: 21
consent  5: 21
2936  Resili: 21
5  legisl: 21
day  revis: 21
Chamber  Commerc: 21
famili  friend: 21
serv  countri: 20
repres  commun: 20
Presid  Obama: 20
wish  continu: 20
colleagu  aisl: 20
THOMPSON  Pennsylvania: 20
thank  friend: 19
Prevent  Fund: 19
pass  Hous: 19
Orthopaed  Societi: 19
Nation  Associat: 19
Allison  Eid: 19
colleagu  join: 19
rule  law: 18
Blu  Ribbon: 18
dedic  servic: 18
includ  Record: 18
serv  commun: 18
health  program: 18
york  Citi: 18
bill  floor: 18
extran  materi: 18
Insuranc  Program: 18
middl  class: 18
consent  Senat: 18
manag  forest: 18
includ  extran: 17
catastroph  fire: 17
bipartisan  bill: 17
SSG  Wilson: 17
Physician  Surgeon: 17
Depart  Educat: 17
Republican  Democrat: 17
remark  includ: 17
session  Senat: 16
commun  leader: 16
commun  countri: 16
bill  pass: 16
hour  debat: 16
yield  2: 16
Marin  Corp: 16
friend  colleagu: 16
rise  honor: 16
quorum  call: 16
econom  growth: 16
Chairman  yield: 16
HR  3922: 16
Methow  Valley: 16
2  minut: 16
pass  legisl: 16
Hous  Resolut: 15
absenc  quorum: 15
Mean  Committe: 15
KIDS  Act: 15
rule  pass: 15
suspend  rule: 15
Senat  vote: 15
climat  chang: 15
consent  quorum: 15
execut  branch: 15
Nation  Park: 15
human  right: 15
HEALTHi  KIDS: 15
call  rescind: 15
Bar  Associat: 15
yea  rollcal: 15
tax  rate: 15
Colorado  Suprem: 15
Senat  proce: 15
yield  floor: 15
suggest  absenc: 15
rural  commun: 14
American  Bar: 14
Congress  pass: 14
student  famili: 14
author  meet: 14
support  nomin: 14
Democrat  colleagu: 14
yield  gentleman: 14
gentleman  yield: 14
unelect  unaccount: 14
local  commun: 14
Unite  Armi: 14
Unite  Senat: 14
30  hour: 14
CHAMPIONING  HEALTHi: 14
Tenth  Circuit: 14
law  professor: 14
land  manag: 14
Eye  Physician: 14
Public  Health: 14
Colleg  Emergenc: 14
Medic  Societi: 14
West  Des: 14
Emergenc  Physician: 14
judici  nomine: 14
domest  violenc: 13
support  rule: 13
civic  engag: 13
Nation  Guard: 13
Rule  Committe: 13
outstand  recognit: 13
save  live: 13
yield  1: 13
1  minut: 13
Ethiopian  Govern: 13
encourag  colleagu: 13
Record  letter: 13
famili  busi: 13
Clean  Air: 13
Council  Bluff: 13
move  suspend: 13
Elementari  School: 13
creat  job: 13
Depart  Justic: 13
recognit  wish: 13
Fish  Wildlif: 13
Veteran  Commend: 12
Veteran  Affair: 12
HR  849: 12
Servic  Committe: 12
privat  sector: 12
Ribbon  School: 12
clotur  vote: 12
Busi  Record: 12
Nation  Forest: 12
Medicar  spend: 12
Congression  Veteran: 12
Associat  American: 12
servic  commun: 12
Natur  Resourc: 12
littl  bit: 12
cut  tax: 12
Professor  Bibass: 12
USFS  BLM: 12
American  Colleg: 12
meet  session: 12
Utah  Chairman: 12
Homeland  Secur: 12
join  support: 12
Texa  rise: 12
critic  habitat: 12
Law  School: 12
1  2017: 12
Air  Forc: 12
Health  Center: 12
support  legisl: 12
children  health: 12
CARTER  Texa: 12
nation  secur: 12
Unite  America: 12
Eighth  Circuit: 11
illeg  alien: 11
Financi  Servic: 11
yield  112: 11
Joan  Larsen: 11
Feder  land: 11
2  week: 11
organiz  includ: 11
access  care: 11
Repres  Washington: 11
112  minut: 11
thank  Chairman: 11
Protect  Senior: 11
American  Associat: 11
follow  nomin: 11
safeti  net: 11
fiscal  respons: 11
join  famili: 11
1LT  OnetoSikorski: 11
POE  Texa: 11
healthcar  system: 11
Societi  Eye: 11
postsecondari  educ: 11
Act  HR: 11
appli  law: 11
step  forward: 11
fish  wildlif: 11
nation  park: 11
some  time: 11
pay  tax: 11
improv  health: 11
Senior  Access: 11
Medicar  Act: 11
Orthopaed  Associat: 11
Obama  administr: 11
Access  Medicar: 11
Indiana  Dune: 11
Pennsylvania  Chairman: 11
Iowa  name: 11
tax  bill: 11
Feder  bench: 11
Lupus  Foundat: 11
Board  IPAB: 11
divers  visa: 11
Social  Secur: 11
feder  forest: 11
under  bill: 11
GRASSLEi  Presid: 10
CHIP  fund: 10
current  law: 10
busi  Senat: 10
American  Societi: 10
promis  American: 10
help  peopl: 10
WALDEN  yield: 10
Affair  Committe: 10
Secur  Citi: 10
colleg  univers: 10
American  worker: 10
San  Francisco: 10
